player_id,nome,squadra,ruolo_mantra,ruolo_classic,mantra_qa,mantra_fvm,classic_qa,classic_fvm,pg_2026_27,mv_2026_27,fm_2026_27,gol_2026_27,ass_2026_27,amm_2026_27,esp_2026_27,gs_2026_27,rp_2026_27,pg_2025_26,mv_2025_26,fm_2025_26,gol_2025_26,ass_2025_26,amm_2025_26,esp_2025_26,gs_2025_26,rp_2025_26,pg_2024_25,mv_2024_25,fm_2024_25,gol_2024_25,ass_2024_25,amm_2024_25,esp_2024_25,gs_2024_25,rp_2024_25,pg_2023_24,mv_2023_24,fm_2023_24,gol_2023_24,ass_2023_24,amm_2023_24,esp_2023_24,gs_2023_24,rp_2023_24,nessuno_storico,cambio_squadra,fm_media_pesata,trend_fm,pres_pct_2026_27,pres_pct_2025_26,pres_pct_2024_25,pres_pct_2023_24,continuita_pct,pos_media_squadra,stato_infortunio,dettaglio_infortunio,infortunio_aggiornato_il
5585,Malen,ROM,pc,a,37,450,37,450,4,7.38,11.75,6,0,1,0,0,0,18,6.72,8.97,14,2,1,0,0,0,,,,,,,,,,,,,,,,,,,0,0,8.97,n_d,100,47,,,74,4.67,,,
2764,Martinez L.,INT,pc,a,34,382,34,382,3,6.33,8.0,2,0,2,0,0,0,30,6.42,8.25,17,6,4,0,0,0,31,6.19,7.44,12,3,1,0,0,0,33,6.65,8.73,24,2,5,0,0,0,0,0,8.1,calante,75,79,82,87,81,1.33,,,
6875,Paz N.,COM,t/a,c,28,257,30,257,4,6.25,7.25,1,1,0,0,0,0,35,6.37,7.3,12,5,5,0,0,0,33,6.38,6.95,6,7,6,0,0,0,,,,,,,,,,0,0,7.17,crescente,100,92,87,,93,11.33,,,
254,Dimarco,INT,e/w,d,29,250,30,250,4,6.25,6.5,0,1,0,0,0,0,35,6.6,7.64,7,17,3,0,0,0,32,6.31,6.86,4,7,3,0,0,0,30,6.48,7.18,5,6,0,0,0,0,0,0,7.31,crescente,100,92,84,79,89,1.33,,,
4871,Thuram,INT,pc,a,30,271,30,271,3,6.67,9.0,2,1,0,0,0,0,29,6.43,7.95,13,6,2,0,0,0,32,6.33,7.75,14,4,1,0,0,0,35,6.54,7.81,13,7,3,0,0,0,0,0,7.86,stabile,75,76,84,92,82,1.33,,,
6052,Hojlund,NAP,pc,a,28,284,28,284,4,6.25,7.75,2,0,0,0,0,0,33,6.21,7.44,12,5,1,0,0,0,,,,,,,,,,,,,,,,,,,0,0,7.44,n_d,100,87,,,94,4.33,,,
2194,Calhanoglu,INT,m/c,c,28,267,27,237,3,6.67,8.5,2,0,1,0,0,0,22,6.52,7.64,9,4,7,0,0,0,28,6.34,6.89,5,6,5,0,0,0,32,6.47,7.70,13,3,5,0,0,0,0,0,7.43,stabile,75,58,74,84,73,1.33,indisponibile,"Il turco in tribuna il 14 settembre contro l'Udinese per un risentimento muscolare all'adduttore della coscia destra, condizioni da valutare quotidianamente, ma dovrebbe tornare arruolabile dall'inizio di ottobre.",2026-09-18
6397,Ramos G.,MIL,pc,a,26,220,26,220,4,5.88,6.62,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,n_d,100,,,,100,5.0,,,
4777,McTominay,NAP,c/t,c,26,150,26,150,2,5.75,5.75,0,0,0,0,0,0,33,6.39,7.26,10,2,1,0,0,0,34,6.56,7.66,12,3,3,0,0,0,,,,,,,,,,0,0,7.41,calante,50,87,89,,75,4.33,indisponibile,Il centrocampista l'1 settembre a causa di una lieve aritmia benigna ha deciso di sottoporsi a un intervento di correzione tramite ablazione. Si confida di rivederlo in campo da metà ottobre.,2026-09-18
2167,Orsolini,BOL,w/a,c,23,146,24,146,2,5.75,5.75,0,0,0,0,0,0,34,6.06,6.76,10,1,2,0,0,0,29,6.53,8.19,15,4,2,0,0,0,31,6.16,7.06,10,2,2,0,0,0,0,0,7.25,stabile,50,89,76,82,74,7.33,,,
2097,Kean,COM,pc,a,24,165,24,165,3,6.0,6.33,0,1,0,0,0,0,26,5.88,6.77,8,1,4,0,0,0,32,6.42,8.08,19,2,6,0,0,0,14,6.0,5.93,0,0,2,0,0,0,0,1,6.99,crescente,75,68,84,37,66,11.33,,,
5951,Kolo Muani,JUV,pc,a,24,120,24,120,4,5.12,5.38,0,1,0,0,0,0,,,,,,,,,,16,6.22,7.78,8,1,0,0,0,0,,,,,,,,,,0,0,7.78,n_d,100,,42,,71,4.33,,,
2423,Pulisic,MIL,t/a,c,22,142,24,142,1,6.5,7.0,0,1,1,0,0,0,27,6.15,7.07,8,4,0,0,0,0,34,6.38,7.49,11,8,1,0,0,0,36,6.33,7.5,12,7,2,0,0,0,0,0,7.28,calante,25,71,89,95,70,5.0,,,
2379,Rabiot,MIL,c/t,c,23,135,23,135,4,6.25,7.5,1,2,0,0,0,0,29,6.33,6.98,6,4,4,1,0,0,,,,,,,,,,31,6.08,6.5,5,2,8,0,0,0,0,0,6.84,crescente,100,76,,82,86,5.0,,,
6752,Woltemade,JUV,a,a,22,127,22,127,2,5.75,5.75,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,n_d,50,,,,50,4.33,,,
7017,Douvikas,COM,pc,a,21,165,21,165,4,6.25,7.75,2,0,0,0,0,0,36,6.18,7.38,14,1,0,0,0,0,12,6.21,6.75,2,1,1,0,0,0,,,,,,,,,,0,0,7.14,crescente,100,95,32,,76,11.33,,,
6434,Yildiz,JUV,a,a,22,75,21,75,1,5.5,5.5,0,0,0,0,0,0,35,6.39,7.3,10,6,2,0,0,0,34,6.34,7.01,7,4,2,1,0,0,21,6.05,6.29,2,0,3,0,0,0,0,0,7.01,crescente,25,92,89,55,65,4.33,indisponibile,"l'attaccante turco, dopo la gara di Frosinone (23 agosto), ha lamentato un problema al piede. Operato il 31 agosto di osteosintesi della frattura della base del V metatarso del piede sinistro, stop di circa tre mesi. Ipotesi di rientro in campo da fine novembre.",2026-09-18
2137,Scamacca,ATA,pc,a,19,104,20,104,4,6.12,6.88,1,0,0,0,0,0,22,6.18,7.55,10,1,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,28,6.41,7.89,12,6,1,0,0,0,0,0,7.65,calante,100,58,0,74,58,4.67,,,
7126,Baturina,COM,t,c,20,155,20,155,4,6.5,7.88,2,0,1,0,0,0,25,6.3,7.14,6,3,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,7.14,n_d,100,66,,,83,11.33,,,
7556,Mora,ROM,t,c,19,91,20,91,4,6.38,7.12,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,n_d,100,,,,100,4.67,,,
5841,Svilar,ROM,por,p,19,90,19,90,4,6.25,6.0,0,0,0,0,1,0,38,6.26,5.45,0,0,0,0,31,0,38,6.32,5.38,0,0,1,0,35,0,15,6.47,5.37,0,0,1,0,19,1,0,0,5.41,stabile,100,100,100,39,85,4.67,,,
5637,Davis K.,UDI,pc,a,19,115,19,115,3,6.5,7.0,0,2,1,0,0,0,30,6.32,7.37,10,4,5,0,0,0,16,6.0,6.38,2,1,2,0,0,0,5,6.2,6.6,1,0,2,0,0,0,0,0,6.92,crescente,75,79,42,13,52,12.33,,,
5559,Da Cunha,COM,c/t,c,18,85,18,85,4,6.38,6.38,0,0,0,0,0,0,35,6.34,6.91,6,4,4,0,0,0,35,6.1,6.36,3,2,4,0,0,0,,,,,,,,,,0,0,6.7,crescente,100,92,92,,95,11.33,,,
1870,Barella,INT,c,c,18,88,18,88,4,6.5,7.5,1,1,0,0,0,0,34,6.28,6.71,3,9,7,0,0,0,33,6.26,6.65,3,6,4,0,0,0,37,6.38,6.53,2,3,7,0,0,0,0,0,6.66,stabile,100,89,87,97,93,1.33,,,
7071,Esposito F.P.,INT,pc,a,18,110,18,110,4,6.75,8.5,2,1,0,0,0,0,31,6.26,7.02,7,3,1,0,0,0,,,,,,,,,,,,,,,,,,,0,0,7.02,n_d,100,82,,,91,1.33,,,
7181,Wesley,ROM,e,d,16,87,18,87,3,6.83,7.17,0,1,0,0,0,0,30,6.12,6.47,5,0,5,2,0,0,,,,,,,,,,,,,,,,,,,0,0,6.47,n_d,75,79,,,77,4.67,,,
531,Berardi,SAS,a,a,19,106,18,106,3,6.33,7.33,1,0,0,0,0,0,26,6.31,7.19,8,4,2,1,0,0,,,,,,,,,,17,6.53,8.06,9,2,6,0,0,0,0,0,7.44,calante,75,68,,45,63,16.67,,,
4998,Molina N.,ROM,e,d,18,63,18,63,3,6.0,6.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,n_d,75,,,,75,4.67,,,
6435,Krstovic,ATA,pc,a,16,87,17,90,4,5.75,6.38,1,0,1,0,0,0,32,6.16,7.19,10,5,4,0,0,0,37,6.05,6.92,11,5,6,0,0,0,33,5.91,6.30,7,1,4,1,0,0,0,0,6.93,crescente,100,84,97,87,92,4.67,,,
2517,De Bruyne,NAP,t,c,16,97,17,97,4,6.62,7.62,1,1,0,0,0,0,17,6.26,7.24,5,2,1,0,0,0,,,,,,,,,,,,,,,,,,,0,0,7.24,n_d,100,45,,,72,4.33,,,
2766,Zaniolo,UDI,t/a,c,16,73,17,73,1,6.5,6.5,0,0,0,0,0,0,31,6.26,6.77,5,5,8,0,0,0,18,6.03,6.22,2,1,6,1,0,0,,,,,,,,,,0,0,6.56,crescente,25,82,47,,51,12.33,,,
4431,Carnesecchi,ATA,por,p,16,56,16,56,4,6.75,5.75,0,1,0,0,5,0,37,6.36,5.58,0,0,0,0,35,2,34,6.34,5.32,0,0,1,0,34,0,27,6.19,5.30,0,0,0,0,30,2,0,0,5.45,stabile,100,97,89,71,89,4.67,,,
5995,De Ketelaere,ATA,a,a,17,86,16,86,4,5.62,5.62,0,0,0,0,0,0,31,6.21,6.60,3,5,4,0,0,0,34,6.19,6.94,7,5,1,0,0,0,33,6.32,7.39,10,8,1,0,0,0,0,0,6.86,calante,100,82,89,87,90,4.67,,,
6675,Dovbyk,BOL,pc,a,16,37,16,40,3,5.83,6.67,1,0,1,0,0,0,13,6.0,6.77,3,1,0,0,0,0,32,6.0,7.19,12,2,0,0,0,0,,,,,,,,,,0,1,6.93,calante,75,34,84,,64,7.33,indisponibile,"L'attaccante non al meglio per noie muscolari al flessore, assente domenica scorsa a Napoli. Da valutare in settimana verso il match di sabato contro il Torino nella 5a giornata di campionato.",2026-09-18
6908,Atta,FIO,c/t,c,16,68,16,68,4,5.38,5.38,0,0,0,0,0,0,32,6.36,6.88,5,3,3,0,0,0,23,6.0,5.89,0,0,5,0,0,0,,,,,,,,,,0,1,6.51,crescente,100,84,61,,82,9.67,,,
5116,Martinez Jo.,INT,por,p,16,63,16,63,4,5.88,4.38,0,0,0,0,6,0,5,6.0,5.2,0,0,0,0,4,0,5,6.3,5.7,0,0,0,0,3,0,36,6.14,4.97,0,0,2,1,43,1,0,0,5.3,stabile,100,13,13,95,55,1.33,,,
2788,Bremer,JUV,dc,d,16,56,16,56,4,6.25,7.0,1,0,0,0,0,0,26,6.33,6.81,4,3,5,0,0,0,6,6.5,6.42,0,0,1,0,0,0,36,6.24,6.36,3,0,9,0,0,0,0,0,6.6,crescente,100,68,16,95,70,4.33,,,
4973,McKennie,JUV,c/t,c,16,61,16,61,1,6.0,6.0,0,0,0,0,0,0,34,6.13,6.68,5,6,5,0,0,0,31,5.94,6.18,2,3,3,0,0,0,33,6.20,6.32,0,7,6,0,0,0,0,0,6.46,crescente,25,89,82,87,71,4.33,,,
632,Zaccagni,LAZ,w/a,c,16,100,16,100,4,6.25,6.5,0,2,2,0,0,0,26,5.88,5.96,3,0,6,1,0,0,34,6.28,7.01,8,6,10,0,0,0,28,6.23,6.77,6,1,8,0,0,0,0,0,6.44,calante,100,68,89,74,83,7.67,,,
7023,Pellegrino M.,FIO,pc,a,16,54,16,57,4,5.75,7.12,2,0,1,0,0,0,37,5.99,6.65,9,0,5,0,0,0,11,6.14,6.86,3,0,2,0,0,0,,,,,,,,,,0,1,6.73,stabile,100,97,29,,75,9.67,,,
309,Dybala,ROM,a,a,17,113,16,113,4,7.12,8.12,0,4,0,0,0,0,21,6.26,6.74,2,7,0,0,0,0,20,6.48,7.48,6,3,2,0,0,0,27,6.48,8.20,13,9,3,0,0,0,0,0,7.25,calante,100,55,53,71,70,4.67,,,
6060,Laurientè,SAS,a,a,16,81,16,81,4,6.38,6.5,0,1,1,0,0,0,37,6.23,6.99,7,9,4,0,0,0,,,,,,,,,,37,5.99,6.46,5,5,5,0,0,0,0,0,6.84,crescente,100,97,,97,98,16.67,,,
4964,Vicario,JUV,por,p,16,62,16,62,4,6.12,5.12,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,n_d,100,,,,100,4.33,,,
6966,Butez,COM,por,p,15,47,15,47,3,5.83,4.83,0,0,0,0,3,0,38,6.07,5.37,0,1,3,0,29,1,18,6.22,5.22,0,0,0,0,18,0,,,,,,,,,,0,0,5.31,stabile,75,100,47,,74,11.33,,,
4159,Akanji,INT,dc,d,15,41,15,41,4,5.75,5.88,0,1,1,0,0,0,32,6.28,6.41,2,0,4,0,0,0,,,,,,,,,,,,,,,,,,,0,0,6.41,n_d,100,84,,,92,1.33,,,
2296,Mancini,ROM,dc,d,15,54,15,54,4,6.25,6.5,0,1,0,0,0,0,36,6.25,6.51,4,2,9,0,0,0,37,6.18,6.26,2,1,8,0,0,0,35,5.99,6.2,4,0,9,0,0,0,0,0,6.37,crescente,100,95,97,92,96,4.67,,,
5734,Soulè,ROM,a,a,16,55,15,55,4,6.62,8.38,2,1,0,0,0,0,32,6.12,6.83,6,5,1,0,0,0,23,6.24,7.04,5,5,3,0,0,0,36,6.29,7.07,11,2,4,0,0,0,0,0,6.94,stabile,100,84,61,95,85,4.67,,,
6967,Diao,COM,w/a,a,15,72,14,70,4,6.62,8.38,2,1,0,0,0,0,16,6.0,6.38,2,1,2,0,0,0,14,6.5,7.93,7,0,2,0,0,0,,,,,,,,,,0,0,6.96,calante,100,42,37,,60,11.33,,,
2120,Bastoni,INT,dc,d,14,42,14,42,4,6.12,6.12,0,0,0,0,0,0,28,6.20,6.34,1,4,6,0,0,0,32,6.42,6.55,1,4,4,1,0,0,28,6.32,6.45,1,3,5,0,0,0,0,0,6.42,stabile,100,74,84,74,83,1.33,,,
4312,Maignan,MIL,por,p,14,51,14,51,4,6.12,5.12,0,0,0,0,4,0,37,6.26,5.42,0,0,4,0,35,2,37,6.18,5.14,0,0,1,0,41,1,29,6.05,4.86,0,1,1,1,34,0,0,0,5.22,crescente,100,97,97,76,92,5.0,,,
4409,Rrahmani,NAP,dc,d,14,51,14,51,4,6.12,6.38,0,1,0,0,0,0,21,6.24,6.45,2,0,3,0,0,0,38,6.14,6.17,1,1,2,0,0,0,30,5.93,6.15,3,0,5,0,0,0,0,0,6.31,stabile,100,55,100,79,84,4.33,,,
7351,Santos A.,NAP,w/a,a,15,55,14,55,3,6.0,6.0,0,0,0,0,0,0,13,6.35,7.23,4,0,1,0,0,0,,,,,,,,,,,,,,,,,,,0,0,7.23,n_d,75,34,,,54,4.33,indisponibile,Il brasiliano costretto al cambio il 9 settembre in Champions League vittima di una lesione muscolare di medio grado al bicipite femorale sinistro. Proverà a tornare arruolabile dalla seconda metà di ottobre.,2026-09-18
6572,Castro S.,ROM,pc,a,13,57,14,60,4,6.0,6.0,0,0,0,0,0,0,35,5.93,6.51,7,1,3,0,0,0,33,6.17,6.76,8,4,8,0,0,0,5,6.0,6.5,1,0,1,0,0,0,0,1,6.58,stabile,100,92,87,13,73,4.67,,,
2061,Simeone,TOR,pc,a,14,60,14,63,4,5.62,5.62,0,0,0,0,0,0,32,6.08,7.09,11,0,1,0,0,0,19,5.92,6.11,1,1,1,0,0,0,17,5.74,5.82,1,0,3,0,0,0,0,0,6.54,crescente,100,84,50,45,70,10.67,,,
7078,Mastantuono,FIO,w/t,c,14,70,14,70,4,6.12,8.38,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,n_d,100,,,,100,9.67,,,
5694,Beto,FIO,pc,a,14,49,14,52,2,5.75,5.75,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,5.5,5.5,0,0,0,0,0,0,0,1,,n_d,50,,,3,26,9.67,,,
5119,Samardzic,ATA,c/t,c,13,37,13,37,4,6.0,6.75,1,0,0,0,0,0,21,5.93,6.29,2,2,1,0,0,0,28,6.09,6.25,2,0,3,0,0,0,33,6.18,6.74,6,2,3,0,0,0,0,0,6.37,calante,100,55,74,87,79,4.67,,,
4371,Raspadori,ATA,a,a,14,50,13,50,3,6.17,7.17,1,0,0,0,0,0,13,6.12,6.88,3,1,0,0,0,0,18,6.19,7.22,6,1,1,0,0,0,33,5.98,6.44,5,3,0,0,0,0,0,0,6.89,crescente,75,34,47,87,61,4.67,,,
4463,Esposito Se.,SAS,a,a,14,45,13,45,1,7.5,10.5,1,0,0,0,0,0,36,6.26,6.88,7,4,6,0,0,0,33,6.17,6.79,8,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,6.85,stabile,25,95,87,0,52,16.67,,,
5800,Gudmundsson A.,LAZ,t/a,c,12,41,13,41,3,5.83,6.67,1,0,1,0,0,0,32,5.88,6.34,5,3,4,1,0,0,21,6.12,6.98,6,1,2,0,0,0,35,6.47,7.64,14,4,4,0,0,0,0,1,6.79,calante,75,84,55,92,76,7.67,,,
152,Zielinski,INT,c,c,13,41,13,41,4,6.75,7.75,1,1,0,0,0,0,30,6.25,6.8,6,2,3,0,0,0,20,5.98,6.32,2,1,0,0,0,0,27,5.94,6.33,3,2,1,0,0,0,0,0,6.56,crescente,100,79,53,71,76,1.33,,,
4976,Kalulu,JUV,dd/dc,d,14,44,13,42,4,6.12,6.12,0,0,0,0,0,0,37,6.14,6.35,2,4,2,1,0,0,28,6.02,6.05,1,0,2,1,0,0,7,5.86,5.86,0,0,0,0,0,0,0,0,6.16,crescente,100,97,74,18,72,4.33,,,
6884,Conceicao,JUV,w/a,c,12,63,13,63,4,6.25,6.5,0,1,0,0,0,0,30,6.28,6.7,3,5,3,0,0,0,25,6.12,6.5,3,3,3,1,0,0,,,,,,,,,,0,0,6.62,stabile,100,79,66,,82,4.33,,,
7314,Taylor K.,LAZ,c/t,c,13,43,13,43,4,6.0,6.0,0,0,0,0,0,0,17,6.06,6.56,3,2,5,0,0,0,,,,,,,,,,,,,,,,,,,0,0,6.56,n_d,100,45,,,72,7.67,,,
5022,Pavlovic,MIL,dc,d,13,43,13,43,4,6.0,5.75,0,0,2,0,0,0,34,6.24,6.62,5,0,4,0,0,0,22,5.91,6.11,2,1,3,1,0,0,,,,,,,,,,0,0,6.43,crescente,100,89,58,,82,5.0,,,
6956,Solet,UDI,dc,d,13,35,13,35,3,6.0,6.0,0,0,0,0,0,0,34,6.18,6.40,3,1,1,0,0,0,19,6.16,6.29,1,1,1,1,0,0,,,,,,,,,,0,0,6.36,stabile,75,89,50,,71,12.33,indisponibile,"il difensore il 7 settembre contro la Lazio costretto al cambio per una lesione al muscolo pettineo della gamba sinistra, è recuperabile dalla fine di settembre.",2026-09-18
6684,Ekkelenkamp,UDI,c/t,c,13,64,13,64,4,6.5,8.25,2,1,0,0,0,0,31,6.05,6.61,5,3,1,0,0,0,33,5.97,6.27,3,2,2,0,0,0,,,,,,,,,,0,0,6.48,crescente,100,82,87,,90,12.33,,,
6372,Moreira,MIL,e/w,c,13,50,13,50,2,6.5,9.5,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,n_d,50,,,,50,5.0,,,
4179,Gonzalez N.,JUV,w/a,c,12,48,13,48,3,6.83,7.83,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,23,5.96,6.37,3,2,3,0,0,0,29,6.31,7.40,12,2,1,0,0,0,0,0,6.78,calante,75,0,61,76,53,4.33,,,
5792,Ederson D.S.,ATA,m/c,c,13,53,12,48,4,6.0,6.75,1,0,0,0,0,0,30,6.25,6.43,2,1,3,0,0,0,36,6.17,6.49,4,2,3,1,0,0,36,6.14,6.56,6,1,8,0,0,0,0,0,6.47,stabile,100,79,95,95,92,4.67,,,
6869,Ramon,COM,dc,d,12,35,12,35,4,6.25,7.0,1,0,0,0,0,0,32,6.16,6.14,2,0,11,1,0,0,,,,,,,,,,,,,,,,,,,0,0,6.14,n_d,100,84,,,92,11.33,,,
6217,Bisseck,INT,dc,d,12,36,12,36,3,6.67,7.67,1,0,0,0,0,0,23,6.22,6.65,3,2,2,0,0,0,27,6.0,6.33,3,2,4,0,0,0,11,6.36,7.0,2,1,0,0,0,0,0,0,6.62,calante,75,61,71,29,59,1.33,,,
2514,Stones,INT,dc,d,12,19,12,19,3,5.83,5.83,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,n_d,75,,,,75,1.33,indisponibile,"il difensore alle prese con un risentimento ai flessori della coscia sinistra, recuperabile dalla prima metà di ottobre.",2026-09-18
5833,Gila,MIL,dc,d,12,29,12,29,4,6.25,6.12,0,0,1,0,0,0,31,6.03,5.95,0,0,3,1,0,0,32,6.05,5.95,1,0,8,0,0,0,21,6.02,5.93,0,0,2,1,0,0,0,1,5.95,stabile,100,82,84,55,80,5.0,,,
2606,Modric,MIL,m/c,c,13,49,12,44,4,5.88,5.88,0,0,0,0,0,0,33,6.45,6.67,2,3,4,0,0,0,,,,,,,,,,,,,,,,,,,0,0,6.67,n_d,100,87,,,94,5.0,,,
2816,Di Lorenzo,NAP,dd/e,d,12,37,12,37,4,6.0,6.12,0,1,1,0,0,0,26,6.08,6.33,2,1,1,0,0,0,37,6.15,6.36,3,2,6,0,0,0,36,6.07,6.21,1,5,6,0,0,0,0,0,6.32,stabile,100,68,97,95,90,4.33,,,
4317,N'Dicka,ROM,dc,d,12,37,12,37,2,5.75,5.75,0,0,0,0,0,0,31,6.08,6.32,3,1,5,0,0,0,38,6.05,6.03,0,0,2,0,0,0,25,5.86,5.86,0,3,6,0,0,0,0,0,6.14,crescente,50,82,100,66,74,4.67,,,
5687,Vlasic,TOR,t,c,11,60,12,60,4,5.38,5.38,0,0,0,0,0,0,37,6.03,6.66,8,3,7,0,0,0,30,6.07,6.67,5,3,0,0,0,0,33,6.02,6.30,3,2,3,0,0,0,0,0,6.59,crescente,100,97,79,87,91,10.67,,,
7484,Adams A.,VEN,pc,a,11,33,12,36,4,5.75,6.5,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,n_d,100,,,,100,19.67,,,
5172,Jones C.,INT,c,c,12,36,12,36,3,6.17,6.17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,n_d,75,,,,75,1.33,,,
4360,Caprile,CAG,por,p,11,25,11,25,4,6.38,5.88,0,0,0,0,2,0,38,6.29,4.87,0,0,2,0,53,0,22,6.20,5.16,0,0,0,0,23,0,23,6.26,5.22,0,0,0,0,27,1,0,0,5.03,calante,100,100,58,61,80,15.0,,,
