squadra,squadra_nome,nome,stato_infortunio,dettaglio_infortunio,aggiornato_il
ATA,Atalanta,Ahanor,indisponibile,"Il difensore fermo dal 13 agosto per una distrazione di basso grado a carico dei muscoli adduttori della gamba destra, ha saltato la sfida contro il Sassuolo e ora proverà a tornare arruolabile da fine agosto, ma da valutare la convocazione per lunedì sera contro il Bologna.",2026-08-26
ATA,Atalanta,Sulemana K.,indisponibile,"L'attaccante KO in amichevole l'8 agosto vittima di una lesione del collaterale mediale di secondo grado del ginocchio sinistro, recuperabile da inizio ottobre.",2026-08-26
ATA,Atalanta,Kristensen T.,indisponibile,"Il difensore non disponibile domenica scorsa nella sfida con il Sassuolo per un problema alla caviglia. Da valutare quotidianamente, a rischio per lunedì sera contro il Bologna.",2026-08-26
ATA,Atalanta,Hien,indisponibile,"il difensore operato a fine giugno per una lesione del tendine prossimale del muscolo semimembranoso della coscia sinistra, in recupero e pronto a tornare in campo dall'inizio di ottobre.",2026-08-26
BOL,Bologna,Casale,indisponibile,"lavoro differenziato a Casteldebole per il difensore negli ultimi giorni a causa di un fastidio muscolare alla gamba. Out lunedì scorso contro la Lazio, da valutare in settimana le possibilità di rientro tra i convocati nella 2a giornata di A contro l'Atalanta.",2026-08-26
CAG,Cagliari,Trepy,indisponibile,"Il calciatore ricoverato il 16 agosto dopo che avrebbe rischiato di annegare in piscina. Condizioni monitorate dallo staff medico rossoblù, tempi di recupero da valutare. Assente di certo nel prossimo turno di campionato.",2026-08-26
CAG,Cagliari,Idrissi R.,indisponibile,"il calciatore in ripresa dalla rottura del legamento crociato, può tornare arruolabile dalla fine di ottobre.",2026-08-26
COM,Como,Addai,indisponibile,"l'ala offensiva dei lariani vittima della rottura tendine d'Achille, proverà a recuperare dalla seconda metà di settembre.",2026-08-26
FIO,Fiorentina,Parisi,indisponibile,"il cursore di fascia della Viola sta svolgendo l'iter di recupero dall'infortunio al legamento crociato al ginocchio, punta a tornare convocabile da novembre.",2026-08-26
JUV,Juventus,Gatti,indisponibile,il difensore non convocato domenica scorsa per Frosinone a causa di noie fisiche. Da valutare in vista di sabato sera contro il Parma nella 2a giornata di A.,2026-08-26
JUV,Juventus,Ekhator,indisponibile,l'attaccante frenato nella seconda metà di luglio da una lesione di basso grado del bicipite femorale della coscia destra e out domenica scorsa a Frosinone. Da valutare nei prossimi allenamenti in vista di sabato sera contro il Parma nella 2a giornata di campionato.,2026-08-26
JUV,Juventus,Yildiz,indisponibile,"l'attaccante turco lamenta un problema al piede sinistro e potrebbe essere necessaria l'operazione chirurgica. Ulteriori valutazioni mediche verranno fatte nelle prossime ore, ma c'è il rischio di uno stop di almeno due mesi. Da valutare.",2026-08-26
LAZ,Lazio,Patric,indisponibile,il difensore ai box per un problema fisico e out nella 2a di campionato contro il Genoa. Da valutare.,2026-08-26
LAZ,Lazio,Dele-Bashiru,indisponibile,"il centrocampista ai box per un guaio muscolare alla gamba lamentato il 24 agosto a Bologna. Da valutare, ma di certo assente domenica contro il Genoa.",2026-08-26
LAZ,Lazio,Cataldi,indisponibile,"il regista biancoceleste ha ripreso a lavorare sul campo d'allenamento, messa da parte l'ernia bilaterale che lo ha costretto a saltare la preparazione estiva. Recuperabile da inizio ottobre.",2026-08-26
LAZ,Lazio,Marusic,indisponibile,il terzino dei biancocelesti KO il 24 agosto a Bologna vittima di un problema muscolare alla coscia che andrà valutato. Di certo assente domenica contro il Genoa.,2026-08-26
LAZ,Lazio,Pellegrini Lu.,indisponibile,"Il terzino non al meglio per noie fisiche, forfait nel prossimo turno contro il Genoa. Da valutare.",2026-08-26
LEC,Lecce,Berisha M.,indisponibile,"Il centrocampista in recupero da una lesione del tendine riflesso del retto femorale destro. Forfait domenica in campionato contro il Venezia, rientro da inizio settembre.",2026-08-26
MIL,Milan,Leao,indisponibile,"L'attaccante portoghese non al meglio per noie fisiche, forfait già nella 1a giornata di campionato e ora rischia di mancare anche venerdì in casa contro il Venezia. Da valutare rientro da inizio settembre.",2026-08-26
MIL,Milan,Gimenez,indisponibile,l'attaccante messicano sta curando una fastidiosa distorsione alla caviglia e sarà out anche venerdì in casa contro il Venezia. Da valutare in vista della 3a giornata di campionato.,2026-08-26
MON,Monza,Ciurria,indisponibile,"il centrocampista non al meglio per noie fisiche, forfait per sabato contro l'Udinese. Da valutare.",2026-08-26
MON,Monza,Colombo L.,indisponibile,il centrocampista acciaccato per noie fisiche e assente per sabato contro l'Udinese. Da valutare.,2026-08-26
MON,Monza,Pessina,indisponibile,"Il centrocampista costretto a saltare l'inizio di campionato per una lussazione della rotula del ginocchio destro rimediata nella prima metà di agosto in allenamento. Tempi di recupero da monitorare, ma proverà a tornare arruolabile dall'inizio di novembre.",2026-08-26
MON,Monza,Tourè I.,indisponibile,"Il centrocampista arrivato in Brianza dal Pisa infortunato, condizioni da valutare a causa di un fastidio articolare. Di certo assente sabato in casa contro l'Udinese.",2026-08-26
NAP,Napoli,Buongiorno,indisponibile,"il difensore operato nella seconda metà di luglio al menisco del ginocchio destro. Sta recuperando lentamente, ipotizziamo possa tornare arruolabile da metà novembre.",2026-08-26
NAP,Napoli,Marianucci,indisponibile,"Il difensore KO in amichevole l'8 agosto vittima di una lesione di alto grado del collaterale mediale del ginocchio sinistro. Tempi di recupero da valutare, ma rischia uno stop di almeno due mesi.",2026-08-26
NAP,Napoli,Mazzocchi,indisponibile,il difensore venerdì 21 agosto si è allenato a parte per un sovraccarico al ginocchio destro e non era presente poi contro il Genoa. Da valutare in settimana le possibilità di rientro per domenica contro il Como al Maradona nella 2a giornata di A.,2026-08-26
PAR,Parma,Nicolussi Caviglia,indisponibile,"il centrocampista alle prese da luglio con una lesione di medio grado alla coscia destra, può tornare arruolabile da inizio settembre.",2026-08-26
ROM,Roma,Rensch,indisponibile,Il difensore fuori dai convocati contro la Fiorentina il 24 agosto per un risentimento muscolare al flessore sinistro. Condizioni da valutare in vista di lunedì contro il Lecce nella 2a giornata di campionato.,2026-08-26
SAS,Sassuolo,Candè,indisponibile,"il difensore a gennaio vittima della rottura legamento crociato anteriore ginocchio destro, punta a tornare convocabile dalla metà di settembre.",2026-08-26
SAS,Sassuolo,Pinamonti,indisponibile,l'attaccante infortunato e assente per domenica a Bergamo contro la Dea. Ipotizziamo un recupero per fine agosto.,2026-08-26
SAS,Sassuolo,Berardi,indisponibile,"L'attaccante non al meglio per una distorsione alla caviglia destra rimediata a luglio a inizio ritiro, condizioni in lento miglioramento. Dopo aver saltato la sfida di campionato contro l'Atalanta rischia di mancare anche sabato contro il Toro. Da valutare quotidianamente.",2026-08-26
SAS,Sassuolo,Boloca,indisponibile,il centrocampista fuori causa per un problema al ginocchio e fuori causa in questo inizio di campionato. Da valutare rientro da metà settembre.,2026-08-26
SAS,Sassuolo,Pieragnolo,indisponibile,il difensore sta proseguendo la fase di recupero dalla lesione legamento crociato anteriore gamba destra e ipotizziamo possa tornare convocabile da ottobre.,2026-08-26
SAS,Sassuolo,Walukiewicz,indisponibile,"Il difensore alle prese con un forte trauma contusivo alla gamba destra, out già domenica scorsa contro l'Atalanta nel primo turno di A. Da valutare il rientro da fine agosto, ma difficilmente ci sarà sabato contro il Toro.",2026-08-26
SAS,Sassuolo,Konè I.,indisponibile,"il centrocampista canadese vittima a giugno nella gara dei Mondiali di una rottura di tibia e perone. Operato, punta a tornare in campo da dicembre.",2026-08-26
UDI,Udinese,Palma,indisponibile,il difensore nel primo turno di A contro il Como costretto al cambio per un lieve problema muscolare all'adduttore della coscia destra che lo terrà ai box fino alla metà di settembre.,2026-08-26
UDI,Udinese,Zanoli,indisponibile,"il calciatore operato a fine gennaio per la lesione del legamento crociato anteriore del ginocchio destro, sta ultimando la fase di recupero e può tornare in campo da ottobre.",2026-08-26
UDI,Udinese,Chakvetadze,indisponibile,"il georgiano a inizio luglio vittima della frattura al terzo metatarso del piede destro, può tornare arruolabile da inizio settembre.",2026-08-26
UDI,Udinese,Zaniolo,indisponibile,"il calciatore nella 1a giornata contro il Como è uscito dal campo a causa di una lesione muscolare al bicipite femorale della coscia destra. Stop di circa 25 giorni, recuperabile dalla seconda metà di settembre.",2026-08-26
VEN,Venezia,Sverko,indisponibile,il difensore operato in estate per il perdurare di un problema all'anca e recuperabile da fine ottobre.,2026-08-26
