player_id,nome,squadra,ruolo_classic,ruolo_mantra,classic_qi,classic_qa,classic_fvm,mantra_qi,mantra_qa,mantra_fvm
5585,Malen,ROM,a,pc,34,37,437,34,37,437
2764,Martinez L.,INT,a,pc,35,36,418,35,36,418
4871,Thuram,INT,a,pc,29,31,275,29,31,275
6875,Paz N.,COM,c,t/a,30,29,248,28,27,248
254,Dimarco,INT,d,e/w,32,29,210,30,28,210
2194,Calhanoglu,INT,c,m/c,27,27,220,28,28,250
6052,Hojlund,NAP,a,pc,28,27,240,28,27,240
2423,Pulisic,MIL,c,t/a,25,25,150,23,23,150
6397,Ramos G.,MIL,a,pc,27,25,237,27,25,237
2379,Rabiot,MIL,c,c/t,22,24,141,22,24,141
4777,McTominay,NAP,c,c/t,28,24,120,28,24,120
2167,Orsolini,BOL,c,w/a,26,23,138,25,22,138
2097,Kean,COM,a,pc,25,23,138,25,23,138
5951,Kolo Muani,JUV,a,pc,26,23,122,26,23,122
7017,Douvikas,COM,a,pc,20,22,138,20,22,138
6752,Woltemade,JUV,a,a,23,22,97,23,22,97
7126,Baturina,COM,c,t,19,21,153,18,20,153
6434,Yildiz,JUV,a,a,23,20,70,24,21,70
7556,Mora,ROM,c,t,19,20,65,18,19,65
2137,Scamacca,ATA,a,pc,19,19,100,18,18,100
5841,Svilar,ROM,p,por,18,19,90,18,19,90
5637,Davis K.,UDI,a,pc,19,19,113,19,19,113
1870,Barella,INT,c,c,17,18,84,17,18,84
7071,Esposito F.P.,INT,a,pc,16,18,107,16,18,107
632,Zaccagni,LAZ,c,w/a,16,18,122,15,17,122
7181,Wesley,ROM,d,e,17,18,93,16,17,93
531,Berardi,SAS,a,a,18,18,103,19,19,103
5559,Da Cunha,COM,c,c/t,18,17,69,18,17,69
2788,Bremer,JUV,d,dc,15,17,80,15,17,80
2517,De Bruyne,NAP,c,t,15,17,90,14,16,90
309,Dybala,ROM,a,a,14,17,120,15,18,120
4998,Molina N.,ROM,d,e,18,17,65,18,17,65
4431,Carnesecchi,ATA,p,por,16,16,56,16,16,56
6435,Krstovic,ATA,a,pc,18,16,80,17,15,77
7023,Pellegrino M.,FIO,a,pc,15,16,51,15,16,48
5734,Soulè,ROM,a,a,12,16,63,13,16,63
6060,Laurientè,SAS,a,a,15,16,77,16,16,77
2766,Zaniolo,UDI,c,t/a,18,16,71,17,15,71
4964,Vicario,JUV,p,por,16,16,65,16,16,65
5995,De Ketelaere,ATA,a,a,17,15,64,18,16,64
6675,Dovbyk,BOL,a,pc,16,15,33,16,15,30
4973,McKennie,JUV,c,c/t,17,15,61,17,15,61
4312,Maignan,MIL,p,por,15,15,54,15,15,54
4409,Rrahmani,NAP,d,dc,14,15,53,14,15,53
2296,Mancini,ROM,d,dc,15,15,54,15,15,54
6372,Moreira,MIL,c,e/w,12,15,60,12,15,62
5119,Samardzic,ATA,c,c/t,12,14,36,12,14,36
4371,Raspadori,ATA,a,a,13,14,30,14,15,30
4463,Esposito Se.,SAS,a,a,13,14,41,14,14,41
6967,Diao,COM,a,w/a,11,14,67,12,15,69
6908,Atta,FIO,c,c/t,17,14,63,17,14,63
5116,Martinez Jo.,INT,p,por,17,14,63,17,14,63
4159,Akanji,INT,d,dc,16,14,41,16,14,41
6884,Conceicao,JUV,c,w/a,12,14,70,11,14,70
5589,Konè M.,ROM,c,m/c,10,14,50,11,14,60
6684,Ekkelenkamp,UDI,c,c/t,10,14,64,10,14,64
7078,Mastantuono,FIO,c,w/t,12,14,70,12,14,70
5792,Ederson D.S.,ATA,c,m/c,12,13,45,13,14,50
4360,Caprile,CAG,p,por,9,13,30,9,13,30
6966,Butez,COM,p,por,16,13,43,16,13,43
5800,Gudmundsson A.,LAZ,c,t/a,13,13,38,12,12,38
2120,Bastoni,INT,d,dc,14,13,40,14,13,40
6217,Bisseck,INT,d,dc,11,13,34,11,13,34
152,Zielinski,INT,c,c,10,13,41,10,13,41
4976,Kalulu,JUV,d,dd/dc,13,13,41,14,13,43
6482,Mandas,LAZ,p,por,9,13,41,9,13,41
7314,Taylor K.,LAZ,c,c/t,13,13,43,13,13,43
5833,Gila,MIL,d,dc,12,13,30,12,13,30
5022,Pavlovic,MIL,d,dc,14,13,50,14,13,50
7351,Santos A.,NAP,a,w/a,14,13,37,15,14,39
6572,Castro S.,ROM,a,pc,14,13,40,13,12,37
2061,Simeone,TOR,a,pc,15,13,58,15,13,55
7554,Romero D.,PAR,a,pc,10,13,44,10,13,41
4179,Gonzalez N.,JUV,c,w/a,11,13,46,10,12,46
5694,Beto,FIO,a,pc,14,13,49,14,13,46
184,Bernardeschi,BOL,c,w/t,9,12,35,9,12,35
6869,Ramon,COM,d,dc,10,12,34,10,12,34
1933,Mandragora,TOR,c,c,9,12,40,9,12,40
5436,Raimondo,FRO,a,pc,7,12,60,6,11,57
2848,Frattesi,LAZ,c,c/t,7,12,113,7,12,113
2606,Modric,MIL,c,m/c,12,12,40,13,13,45
2816,Di Lorenzo,NAP,d,dd/e,12,12,37,12,12,37
4807,Hermoso,ROM,d,dc,10,12,35,10,12,35
7347,Bowie,SAS,a,pc,10,12,33,9,11,33
6956,Solet,UDI,d,dc,13,12,30,13,12,30
7484,Adams A.,VEN,a,pc,12,12,33,11,11,30
5172,Jones C.,INT,c,c,12,12,33,12,12,33
4896,Maldini,CAG,a,t/a,5,11,45,6,11,45
6151,Perrone,COM,c,m/c,10,11,32,11,12,37
7129,Rodriguez Je.,COM,c,w/a,12,11,23,11,10,23
7472,Calò,FRO,c,m/c,7,11,37,8,12,42
6530,Ghedjemis,FRO,a,w/a,9,11,31,10,11,31
6204,Kvernadze,FRO,a,w/a,4,11,50,5,12,52
2514,Stones,INT,d,dc,12,11,14,12,11,14
6274,Diouf,INT,c,e/c,8,11,56,9,12,58
7436,Alajbegovic,JUV,c,w/t,12,11,40,12,11,40
5500,Cancellieri,LAZ,c,w/a,9,11,22,8,11,22
4892,Saelemaekers,MIL,c,e/w,10,11,32,11,12,32
4287,Lobotka,NAP,c,m/c,7,11,28,8,12,33
536,Politano,NAP,c,w,10,11,42,9,11,42
4317,N'Dicka,ROM,d,dc,13,11,32,13,11,32
779,Cristante,ROM,c,m/c,8,11,31,9,11,36
6677,Adzic,SAS,c,c/t,5,11,37,5,11,37
5687,Vlasic,TOR,c,t,14,11,57,13,10,57
6646,Adams C.,TOR,a,a,9,11,25,10,12,25
7551,Schmid,FRO,c,w/t,8,11,38,8,11,38
1850,Kessiè,ATA,c,c,12,11,33,12,11,33
7625,Goncalves P.,FIO,c,w/t,12,11,37,12,11,37
5526,Scalvini,ATA,d,dc,10,10,23,10,10,23
4734,Miranda J.,BOL,d,ds/e,8,10,22,8,10,22
7311,Romano,CAG,c,m/c,5,10,21,6,10,26
2521,De Gea,FIO,p,por,13,10,25,13,10,25
6531,Jimenez A.,FIO,d,dd/ds/e,8,10,30,9,11,32
5750,Ostigard,GEN,d,dc,11,10,26,11,10,26
5823,Baldanzi,GEN,c,t,11,10,21,10,9,21
4923,Colombo,GEN,a,pc,11,10,53,10,10,50
5877,Carlos Augusto,INT,d,b/ds/e,7,10,27,8,11,27
5761,Zhegrova,JUV,c,w,6,10,22,5,9,22
6556,Noslin,LAZ,a,a,6,10,35,6,10,35
5504,Coulibaly L.,LEC,c,m/c,6,10,17,7,11,22
4856,Chukwueze,MIL,c,e/w,6,10,23,5,9,25
7485,Mangas,MON,d,ds/e,6,10,25,6,10,25
7523,Varela G.,MON,a,pc,3,10,69,3,10,66
2038,Pinamonti,LAZ,a,pc,13,10,40,12,10,37
5555,Kamara H.,UDI,d,ds/e,6,10,15,6,10,15
6229,Tourè E.,PAR,a,pc,11,10,31,11,10,31
7547,Kevin Carlos,CAG,a,pc,13,10,20,12,10,17
5982,Spence,INT,d,e,12,10,17,11,9,17
7600,Osmajic,GEN,a,pc,8,10,36,7,9,33
133,Skorupski,BOL,p,por,10,9,23,10,9,23
6844,Rowe,ATA,c,w/t,11,9,35,11,9,35
4210,Mina,CAG,d,dc,8,9,17,8,9,17
4870,Adopo,CAG,c,m/c,6,9,12,7,10,15
7414,Kaiki,COM,d,ds/e,7,9,17,7,9,17
4359,Piccoli,BOL,a,pc,8,9,41,7,9,38
6415,Palmisani,FRO,p,por,4,9,21,4,9,21
